,population
Alabama,48689.73869748976
Alaska,7758.263514628437
Arizona,68985.0838911566
Arkansas,31314.727773753413
California,431008.7208273898
Colorado,58611.951034329206
Connecticut,40055.796065165545
Delaware,9688.921821250859
District of Columbia,5304.771204505722
Florida,181998.82780497152
Georgia,108051.4299324476
Guam,1594.303799311291
Hawaii,13702.239191359722
Idaho,20738.646106866396
Illinois,145525.75898125808
Indiana,75013.24935062311
Iowa,35031.58327097372
Kansas,35484.03119676142
Kentucky,46380.18950284943
Louisiana,45047.03019154971
Maine,14352.76988031501
Maryland,62688.021681278326
Massachusetts,73563.41818418351
Michigan,103250.19914260255
Minnesota,62303.153180858746
Mississippi,28885.36475161981
Missouri,68513.5255176853
Montana,9681.670503216557
Nebraska,24001.432476411806
Nevada,25076.635079438085
New Hampshire,15255.965640137776
New Jersey,103090.6366445861
New Mexico,20841.412684071838
New York,205026.21392650774
North Carolina,107650.60262885036
North Dakota,7743.014075874364
Ohio,122452.3491301424
Oklahoma,41851.22193431989
Oregon,36594.01692427629
Pennsylvania,137708.5761430526
Puerto Rico,20360.531800450644
Rhode Island,11039.330309023946
South Carolina,46759.55206156226
South Dakota,8521.73531105834
Tennessee,67268.36718529898
Texas,348578.08907429455
Utah,39099.9304077097
Vermont,6675.869382674136
Virginia,90212.58222758616
Washington,70411.17278261152
West Virginia,17446.524367377046
Wisconsin,65548.39002390372
Wyoming,5863.851813028459
